,0
"('2_axe', '26_lion', '42_skeleton_king', '74_invoker', '102_abaddon')",3
"('19_tiny', '71_spirit_breaker', '91_wisp', '94_medusa', '100_tusk')",2
"('17_storm_spirit', '26_lion', '54_life_stealer', '98_shredder', '121_grimstroke')",2
"('13_puck', '38_beastmaster', '84_ogre_magi', '94_medusa', '101_skywrath_mage')",2
"('44_phantom_assassin', '58_enchantress', '71_spirit_breaker', '126_void_spirit', '128_snapfire')",2
"('1_antimage', '17_storm_spirit', '26_lion', '37_warlock', '98_shredder')",2
"('11_nevermore', '26_lion', '29_tidehunter', '91_wisp', '103_elder_titan')",2
"('35_sniper', '41_faceless_void', '60_night_stalker', '75_silencer', '112_winter_wyvern')",2
"('63_weaver', '79_shadow_demon', '107_earth_spirit', '114_monkey_king', '129_mars')",2
"('39_queenofpain', '48_luna', '71_spirit_breaker', '84_ogre_magi', '121_grimstroke')",2
"('1_antimage', '9_mirana', '29_tidehunter', '52_leshrac', '84_ogre_magi')",2
"('48_luna', '87_disruptor', '101_skywrath_mage', '106_ember_spirit', '129_mars')",2
"('35_sniper', '54_life_stealer', '64_jakiro', '85_undying', '129_mars')",2
"('40_venomancer', '54_life_stealer', '63_weaver', '88_nyx_assassin', '126_void_spirit')",2
"('13_puck', '28_slardar', '44_phantom_assassin', '88_nyx_assassin', '121_grimstroke')",2
"('25_lina', '42_skeleton_king', '68_ancient_apparition', '88_nyx_assassin', '99_bristleback')",2
"('9_mirana', '16_sand_king', '42_skeleton_king', '55_dark_seer', '110_phoenix')",2
"('49_dragon_knight', '58_enchantress', '83_treant', '106_ember_spirit', '109_terrorblade')",2
"('6_drow_ranger', '20_vengefulspirit', '29_tidehunter', '46_templar_assassin', '128_snapfire')",2
"('25_lina', '52_leshrac', '54_life_stealer', '58_enchantress', '61_broodmother')",2
"('9_mirana', '43_death_prophet', '91_wisp', '100_tusk', '103_elder_titan')",2
"('46_templar_assassin', '84_ogre_magi', '101_skywrath_mage', '114_monkey_king', '129_mars')",2
"('9_mirana', '16_sand_king', '23_kunkka', '26_lion', '46_templar_assassin')",2
"('9_mirana', '17_storm_spirit', '49_dragon_knight', '67_spectre', '68_ancient_apparition')",2
"('9_mirana', '17_storm_spirit', '28_slardar', '70_ursa', '128_snapfire')",2
"('48_luna', '84_ogre_magi', '86_rubick', '129_mars', '126_void_spirit')",2
"('10_morphling', '15_razor', '84_ogre_magi', '87_disruptor', '120_pangolier')",2
