API_Name	Wiki Name	PrimaryAttribute	Base Str	Base Agi	Base Int	Str Gain	Agi Gain	Int Gain	Base Dmg	Base Armor	Base Magic Res	Base Move Speed	AttackType	Attack Range	Attack Point	Attack Backswing	Base Attack Time	Turn Rate	Day Sight	Night Sight
102_abaddon	Abaddon	Strength	22	23	15	2.8	1.5	2	31	-1	0.25	325	Melee	150	0.56	0.41	1.7	0.5	1800	800
73_alchemist	Alchemist	Strength	25	22	25	2.9	1.2	1.8	30	-1	0.25	305	Melee	150	0.35	0.65	1.7	0.6	1800	800
68_ancient_apparition	Ancient Apparition	Intelligence	20	20	23	1.7	2.2	3.4	26	-1	0.25	285	Ranged	675	0.45	0.3	1.7	0.6	1800	800
1_antimage	Anti-Mage	Agility	23	24	12	1.6	2.8	1.8	31	0	0.25	310	Melee	150	0.3	0.6	1.4	0.5	1800	800
113_arc_warden	Arc Warden	Agility	22	20	24	2.6	2.5	2.6	36	-1	0.25	280	Ranged	625	0.3	0.7	1.7	0.7	1800	800
2_axe	Axe	Strength	25	20	18	3.4	2.2	1.6	29	-1	0.25	310	Melee	150	0.4	0.5	1.7	0.6	1800	800
3_bane	Bane	Intelligence	22	22	22	2.5	2.5	2.5	36	1	0.25	310	Ranged	400	0.3	0.7	1.7	0.6	1800	1200
65_batrider	Batrider	Intelligence	28	15	22	2.9	1.8	2.9	19	1	0.25	300	Ranged	400	0.3	0.54	1.7	0.9	1600	800
38_beastmaster	Beastmaster	Strength	23	18	16	2.9	1.6	1.9	35	0	0.25	305	Melee	150	0.3	0.7	1.7	0.5	1800	800
4_bloodseeker	Bloodseeker	Agility	24	22	17	2.7	3.1	2	38	2	0.25	290	Melee	150	0.43	0.74	1.7	0.5	1800	800
62_bounty_hunter	Bounty Hunter	Agility	20	21	22	2.5	2.6	1.9	34	4	0.25	320	Melee	150	0.59	0.58	1.7	0.6	1800	1000
78_brewmaster	Brewmaster	Strength	23	19	15	3.7	2	1.6	32	-1	0.25	310	Melee	150	0.35	0.65	1.7	0.6	1800	800
99_bristleback	Bristleback	Strength	22	17	14	2.9	1.8	2.8	35	1	0.25	290	Melee	150	0.3	0.3	1.8	1	1800	800
61_broodmother	Broodmother	Agility	18	19	18	2.8	3.4	2	32	0	0.25	280	Melee	150	0.4	0.5	1.7	0.5	1800	800
96_centaur	Centaur Warrunner	Strength	27	15	15	4.6	1	1.6	37	0	0.25	300	Melee	150	0.3	0.3	1.7	0.5	1800	800
81_chaos_knight	Chaos Knight	Strength	22	18	18	3.2	1.4	1.2	44	2	0.25	325	Melee	150	0.5	0.5	1.7	0.5	1800	800
66_chen	Chen	Intelligence	25	15	19	1.8	2.1	3.2	32	-1	0.25	300	Ranged	650	0.5	0.5	1.7	0.6	1800	800
